Countries ,"Onion prices, 1 kg ",Rank 
Puerto Rico,5.14,1
Japan,4.69,2
Costa Rica,4.04,3
Tunisia,3.47,4
Indonesia,3.23,5
Philippines,3.06,6
Mexico,3,7
Ghana,2.87,8
Nigeria,2.86,9
Uruguay,2.82,10
China,2.82,11
Hong Kong,2.78,12
Spain,2.77,13
Kuwait,2.75,14
Thailand,2.67,15
Tanzania,2.59,16
South Korea,2.46,17
Canada,2.37,18
Switzerland,2.18,19
Israel,2.17,20
New Zealand,2.16,21
Australia,2.12,22
Ecuador,2,23
Zambia,2,24
Angola,1.94,25
Netherlands,1.88,26
Norway,1.87,27
Argentina,1.82,28
Romania,1.79,29
Italy,1.78,30
Finland,1.77,31
Hungary,1.77,32
Domin. Rep.,1.72,33
Vietnam,1.7,34
Chile,1.67,35
Austria,1.66,36
Slovakia,1.66,37
Czechia,1.63,38
UA Emirates,1.62,39
South Africa,1.58,40
Slovenia,1.55,41
Ukraine,1.51,42
Singapore,1.5,43
France,1.49,44
Malaysia,1.46,45
Sweden,1.46,46
Belgium,1.44,47
Latvia,1.44,48
Poland,1.44,49
Colombia,1.42,50
USA,1.37,51
Denmark,1.33,52
Guatemala,1.32,53
Ivory Coast,1.3,54
Germany,1.28,55
Morocco,1.26,56
UK,1.26,57
Egypt,1.24,58
Serbia,1.23,59
Peru,1.22,60
Brazil,1.2,61
Kenya,1.13,62
Bulgaria,1.12,63
Ireland,1.1,64
Lithuania,1.1,65
Saudi Arabia,1.05,66
Greece,1.05,67
Turkey,1.02,68
Paraguay,1,69
Portugal,0.98,70
Uganda,0.94,71
Azerbaijan,0.87,72
Bolivia,0.85,73
Pakistan,0.78,74
Kazakhstan,0.76,75
Sri Lanka,0.76,76
Jordan,0.69,77
Russia,0.65,78
India,0.42,79
Bangladesh,0.37,80
